the theme of contrast,تضاد تم
chief editor of the journal,سردبیر مجله

editorial board,هیئت تحریریه

non-scientific interests,علایق غیر علمی

a peaceful and quiet lake,دریاچه‌ای آرام و ساکت

collaborative research,پژوهش مشترک

profits-driven leadership,رهبری مبتنی بر سود

cost control,کنترل هزینه‌ها

maintaining market share,حفظ سهم بازار

balancing employee relations,تعادل در روابط کارکنان

employee relations and development,روابط و توسعه کارکنان

needs of customer or client,نیازهای مشتری یا موکل

welfare of the greater community,رفاه جامعه بزرگتر

focus on earnings,تمرکز خاص بر درآمد

negative effects,اثرات منفی

decision making,تصمیم‌گیری

Scientists make observations,دانشمندان مشاهداتی انجام می‌دهند

have assumptions,فرضیاتی دارند

do experiments,آزمایش‌هایی انجام می‌دهند

get their results,نتایج خود را به دست می‌آورند

a lot of data,داده زیادی

a picture of the world,تصویری از جهان

E-Learning,آموزش الکترونیکی

the new way forward,راه جدید پیش رو

innovative approach,رویکرد نوآورانه

new opportunities,فرصت‌های جدید

busy professionals,حرفه‌ای‌های پرمشغله

demanding professional and personal life,زندگی حرفه‌ای و شخصی پرتقاضا

small virtual classrooms,کلاس‌های مجازی کوچک

intensive interaction and collaboration,تعامل و همکاری فشرده

modern developments,تحولات مدرن

new ways of thinking,روش‌های جدید تفکر

human nature,طبیعت انسانی

brain function,عملکرد مغز

the mind and consciousness,ذهن و آگاهی

modern human behavior,رفتار انسان مدرن

evolutionary heritage,میراث تکاملی

the right place to start,جایگاه مناسب برای شروع

the Great Debate,مناظره بزرگ

hear the arguments,شنیدن استدلال‌ها

have your say,اظهار نظر کنید

forests tropical,جنگلهای گرمسیری

places of tremendous intricacy and energy,مکانهای طبیعی بسیار پیچیده و پرانرژی

scientific naturalists,طبیعی دانان علمی

plan clear,برنامه واضح

do research,انجام تحقیق

margin of safety,حاشیه امنیت

speculative picks,انتخابهای ریسکی

oil explorer,جستجوگر نفت

nonprofit environmental,سازمان غیرانتفاعی محیطزیست

Nature Conservancy,حفاظت از طبیعت

cleaner air,هوای پاکتر

cooler cities,شهرهای خنکتر

geospatial information,اطلاعات جغرافیایی

cover forest,پوشش جنگلی

data pollution air,دادههای آلودگی هوا

forecasts population,پیشبینی های جمعیتی

cities polluted populated densely,شهرهای پرجمعیت و آلوده

payoffs health,مزایای بهداشتی

survey global,نظرسنجی جهانی

following tips,نکات زیر

common ground,نقطههای مشترک

engage with your network,تعامل با شبکه خود

process of investigation,فرآیند تحقیق

central to the purpose,هدف محور

acknowledged experts,کارشناسان شناختهشده

staff members,اعضای کادر

advanced level,سطح پیشرفته

positive student experience,تجربهی مثبت دانشجویی

further education,آموزش عالی

development doctoral,توسعه دکتری

ecological pioneers,پیشگامان زیستمحیطی

valuable crops,محصولات ارزشمند

entire communities,جوامع کامل

wild crops,محصولات وحشی

sowed the seeds,بذر کاشت

the modern age,عصر مدرن

local communities,جوامع محلی

devastating consequences,پیامدهای ویرانگر

vast array of resources,مجموعه وسیعی از منابع

natural water balance,تعادل طبیعی آب

human population,جمعیت انسانی

key factor,عامل کلیدی

improving outcomes,بهبود نتایج

Indigenous Australians,بومیان استرالیا

socioeconomic status,وضعیت اجتماعی- اقتصادی

educational participation and achievement,مشارکت و دستاوردهای آموزشی

a range of issues,مجموعهای از مسائل

participation in education,مشارکت در آموزش

access to educational institutions,دسترسی به مؤسسات آموزشی

financial constraints,محدودیتهای مالی

community expectations,انتظارات جامعه

coffee experience,تجربه قهوه

modern life and culture,زندگی و فرهنگ مدرن

current body of research,مجموعه پژوهشهای کنونی

effects of coffee consumption,تأثیرات مصرف قهوه

human health,سلامت انسان

Comprehensive Reviews,مرور جامع

Food Science and Food Safety,علوم غذایی و ایمنی غذا

Institute of Food Technologists (IFT),مؤسسه فناوری مواد غذایی (IFT)

potential benefits,فواید بالقوه

moderate coffee drinking,نوشیدن قهوه به میزان متوسط

adult consumers,مصرف‌کنندگان بزرگسال

major health outcomes,نتایج عمده سلامتی

vocal cords,تارهای صوتی

culture of health and well-being,فرهنگ سلامت و رفاه

healthcare practitioners,پزشکان و متخصصان سلامت

health worries,نگرانی‌های سلامتی

stronger social ties,روابط اجتماعی قوی‌تر

positive benefits,فواید مثبت

financial crisis,بحران مالی

principal explanations,توضیحات اصلی

disastrous decisions,تصمیمات فاجعه‌بار

rules and guidelines,قوانین و دستورالعمل‌ها

investors and traders,معامله‌گران و سرمایه‌گذاران

extravagant bets,شرط‌بندی‌های گزاف

understanding the consequences,درک عواقب

genuine respect,احترام واقعی

scientific method,روش علمی

patient’s symptoms,علائم بیمار

responses to treatments,واکنش به درمان‌ها

gathered data,داده‌های جمع‌آوری‌شده

successful regimens,موفق‌ترین رژیم‌های درمانی

great medical practitioner,پزشک بزرگ

educator and author,معلم و نویسنده

rational medicine,طب منطقی

the ancient world,دنیای باستان

financial statements,صورت‌های مالی

Financial reports,گزارش های مالی

Investment strategy,استراتژی سرمایهگذاری

Budget planning,برنامهریزی بودجه

Cash flow management,مدیریت جریان نقدی

Profit analysis,تحلیل سود

Risk assessment,ارزیابی ریسک

Cost control,کنترل هزینه

Accounting principles,اصول حسابداری

Financial forecasting,پیش بینی مالی

Academic programs,برنامههای تحصیلی

Top-notch faculty,اعضای هیئت علمی برجسته

Brightest students,دانشجویان برتر

Quality of academic programs,کیفیت برنامههای تحصیلی

National basis,سطح ملی

Closing decades,دهه های پایانی

Artist’s life,زندگی هنرمند

Biographer’s heart,دل زندگینامهنویس

handful of painters,تعداد معدودی از نقاشان

dragging baggage,بارهای مزاحم

fancy cars,خودروهای لوکس

expensive wine,شراب گرانقیمت

sprawl of dependents,گسترش وابستگان

career-defining work,آثار تعیینکننده مسیر حرفهای

physical activity,فعالیت بدنی

health and wellbeing,سلامت و رفاه

chronic diseases,بیماریهای مزمن

heart disease,بیماری قلبی

National Physical Activity Guidelines,دستورالعملهای ملی فعالیت بدنی

moderate-intensity physical activity,فعالیت بدنی با شدت متوسط

health benefits,فواید سلامتی

sea turtles,لاک‌پشتهای دریایی

Bright lights,نورهای روشن

minds and bodies,ذهنها و بدنها

focus and direction,تمرکز و جهت

value of tech,ارزش فناوری

feature films,فیلمهای سینمایی

true events,رویدادهای واقعی

produce drama,ایجاد درام

telescope time,فشردهسازی زمان

minor characters,شخصیتهای فرعی

special-effect movies,فیلم های با افکتهای ویژه

script idea,ایده ی فیلمنامه

advance publicity,تبلیغات پیش از نمایش

literary fiction,ادبیات داستانی

television drama,درام تلویزیونی

representational conventions,قراردادهای نمایشی

basic structure and functions,ساختار و عملکردهای اساسی

lightest of any solid element,سبک ترین عنصر جامد

modest role,نقش کماهمیت

silvery in color,رنگ نقرهای

alloy of aluminum,آلیاژ آلومینیوم

pure form,شکل خالص

floats on water,بر روی آب شناور میشود

vapor cloud,ابر بخار

height of summer,اوج تابستان

tourist ships,کشتی های گردشگری

unthinkable sights,مناظر غیرقابل تصور

large sums of money,مبالغ هنگفت

real wilderness,بیابان واقعی

careless human exploitation,بهره برداری بیاحتیاط انسانی

fragile ecosystem,اکوسیستم آسیبپذیر

concerned governments,دولت های نگران

natural environment,محیط زیست طبیعی

less accessible,کمتر قابل دسترسی

largely undamaged,عمدتاً آسیبندیده

ozone layer,لایه اوزون

world park,پارک جهانی

internationally banned,به طور بینالمللی ممنوع

changing tastes,سلیقه های درحال تغییر

social conditions,شرایط اجتماعی

advances in theater technology,پیشرفتهای فناوری تئاتر

modern musicals,موزیکالهای مدرن

spectacular sets,دکورهای شگفتانگیز

early plays,نمایشهای اولیه

comedies and histories,کمدیها و تاریخها

peak of sophistication and artistry,اوج پیچیدگی و هنر

last phase,مرحله آخر

charity appeal,درخواست خیریه

rouse pupils’ awareness,افزایش آگاهی دانشآموزان

natural advantage,مزیت طبیعی

political decisions,تصمیمات سیاسی

multiplier effect,اثر ضربدریافتی

rural-to-urban migration,مهاجرت از روستا به شهر

expense of cities,هزینه شهرها

fossilized trackway,مسیر فسیلشده

public lands,اراضی عمومی

ancient family dynamics,دینامیکهای خانوادگی باستانی

infant and juvenile mammoths,ماموتهای جوان و نوزاد

greenhouse gas concentrations,غلظت های گازهای گلخانهای

deforestation rates,نرخهای جنگل زدایی

unsustainable consumption and production patterns,الگوهای مصرف و تولید ناپایدار

capacity of global ecosystems,ظرفیت اکوسیستمهای جهانی

world community,جامعه جهانی

environmentally sound economic growth,رشد اقتصادی محیطزیستمحور

commitments to future generations,تعهدات به نسلهای آینده

old glib theory,نظریه قدیمی و سطحی

migrating species,گونههای مهاجر

face-recognition abilities,توانایی های شناسایی چهره

important information,اطلاعات مهم

unexpected orientations,جهات غیرمنتظره

inverted faces,چهرههای معکوس

facial expressions and gestures,حرکات و بیانهای چهره

communicate messages and emotions,ارسال پیامها و احساسات

dominant individual,فرد مسلط

submissive signals,نشانههای تسلیم

nervous subordinates,زیردستان عصبی

gestures of reassurance,حرکات اطمینانبخش

coral reefs,صخره های مرجانی

marine life,زندگی دریایی

ocean ecosystem,اکوسیستم اقیانوس

physically and biologically spectacular,از نظر فیزیکی و بیولوژیکی شگفتانگیز

high-quality reef,صخره مرجانی با کیفیت بالا

threat of climate change,تهدید تغییرات آبوهوایی

increased seawater temperatures,افزایش دمای آب دریا

ocean acidification,اسیدی شدن اقیانوسها

frightening scenarios,سناریوهای ترسناک

humanistic studies,مطالعات انسانی

psychology and philosophy,روانشناسی و فلسفه

degree in philosophy,مدرک فلسفه

major academic appointment,انتصاب دانشگاهی مهم

provincial schools,مدارس استانی

teaching appointment,انتصاب تدریس

Australian Renewable Energy Agency (ARENA),آژانس انرژی تجدیدپذیر استرالیا (ARENA)

collaborative project,پروژه همکاری

Australian Maritime College,کالج دریایی استرالیا

tidal energy,انرژی جزر و مد

chief investigator,محقق اصلی

commercial-scale tidal farms,مزارع جزر و مد در مقیاس تجاری

casual observer,ناظر غیرحرفهای

thoughtful question,سؤال متفکرانه

normally quiet student,دانشآموز معمولاً ساکت

standard response,پاسخ استاندارد

inquisitive or talkative student,دانشآموز کنجکاو یا پرحرف

expert teachers,معلمان متخصص

teaching behaviors,رفتارهای آموزشی

feeling tense,احساس تنش

too much to do,کارهای زیاد برای انجام دادن

too many bills to pay,قبض‌های زیادی برای پرداخت

not enough money or time,زمان یا پول کافی نداشتن

common emotion,احساس رایج

few borders,مرزهای اندک

daily basis,به صورت روزانه

anxious feelings,احساسات اضطرابی

financial pressure,فشار مالی

top worry,بزرگترین نگرانی

large lake,دریاچه بزرگ

piles of bones,توده‌های استخوان

collections of stones,مجموعه‌های سنگ

carefully uncovering and examining,آشکارسازی و بررسی دقیق

earliest ancestors,اجداد نخستین

modern-day humans,انسان‌های امروزی

Upright walking species,گونه‌ای که به حالت ایستاده راه می‌رفت

Scene of a crime,محل وقوع جرم

Traces of DNA,ردپای DNA

Identify an individual,شناسایی یک فرد

Crack a case,حل یک پرونده

DNA database,پایگاه داده DNA

First experience living away from home,اولین تجربه زندگی دور از خانه

Extended period of time,مدت زمان طولانی

Definite break from home,تغییر قطعی از خانه

Individual’s usual sources of support,منابع حمایتی معمول فرد

Facilitate adjustment,تسهیل تطابق

Unfamiliar environment,محیط ناآشنا

Increasing darkness,تاریکی فزاینده

Northern Hemisphere,نیمکره شمالی

Recouping materials from the leaves,بازیابی مواد از برگ‌ها

Needle-like foliage,شاخ و برگ‌های سوزنی‌شکل

Waxy coatings,پوشش‌های مومی

Natural antifreeze,ضد یخ طبیعی

Broadleaf plants,گیاهان پهن‌برگ

Shedding leaves,ریزش برگ‌ها

Important nutrients,مواد مغذی مهم

Nitrogen and phosphorus,نیتروژن و فسفر

Long periods of time,مدت زمان طولانی

Zero-gravity environment,محیط بدون جاذبه

International Space Station (ISS),ایستگاه فضایی بین‌المللی (ISS)

Loss of bone density,کاهش چگالی استخوان

Damage to the body’s muscles,آسیب به عضلات بدن

Stays aboard the ISS,اقامت در ایستگاه فضایی

NASA astronauts,فضانوردان ناسا

Deteriorated vision,کاهش بینایی

Needing glasses,نیاز به عینک

Returning to Earth,بازگشت به زمین

Pilgrimage site,مکان زیارتی

Luminosity of its cross-cultural and marketing aspects,درخشش جنبه‌های فرهنگی و بازاریابی آن

Utopian aspects,جنبه‌های آرمان‌شهری

Capitalist society,جامعه سرمایه‌داری

Symbolic essence of childhood,جوهر نمادین کودکی

Mapping software,نرم‌افزار نقشه‌برداری

Built-in compass,قطب‌نمای داخلی

True north,شمال جغرافیایی

Magnetic north,شمال مغناطیسی

Flowing layer of molten iron,لایه جاری آهن مذاب

Earth’s outer core,هسته بیرونی زمین

Emotional state,وضعیت عاطفی

Hard-headed scientist,دانشمند سرسخت

Pragmatic and rational view,دیدگاه منطقی و عملگرایانه

Personal observations,مشاهدات شخصی

Good relationship,رابطه خوب

Low fertility,باروری پایین

Population aging,پیری جمعیت

Fertility rates,نرخ‌های باروری

Postponing childbirth,به تعویق انداختن زایمان

Easy question,سوال آسان

Pieces of music,قطعات موسیقی

Canonical examples,مثال‌های استاندارد

Knowledge of music,دانش موسیقی

Degrees of consciousness,درجات آگاهی

Feel pain,احساس درد

Sophisticated sensory capacities,قابلیت‌های حسی پیشرفته

Excellent eyesight,بینایی عالی

Large nervous systems,سیستم‌های عصبی بزرگ

Complex behavior,رفتار پیچیده

Subjective experience,تجربه ذهنی

Biological systems,سیستم‌های زیستی

Complex engineering,مهندسی پیچیده

Accidents or coincidences,حوادث یا تصادف‌ها

Natural selection,انتخاب طبیعی

Useful functions,عملکردهایی مفید

Modern approaches to personality,رویکردهای مدرن به شخصیت

Advances in neuroscience,پیشرفت‌ها در علوم اعصاب

Consistent understanding of personality,درک منسجم از شخصیت

Risk takers,افراد ریسک‌پذیر

Multidisciplinary and multicultural nature,ویژگی‌های چندرشته‌ای و چندفرهنگی

Innovative professionals,متخصصان نوآور

Global leaders,رهبران جهانی

International expertise,تخصص بین‌المللی

Critical challenges,چالش‌های بحرانی

National and regional strategies,استراتژی‌های ملی و منطقه‌ای

Landmark research,تحقیق‌های برجسته

International organizations,سازمان‌های بین‌المللی

Plagiarism detection,تشخیص سرقت ادبی

Investigates plagiarism,بررسی سرقت ادبی

Assessed work,کارهای ارزیابی‌شده

Electronic detection software,نرم‌افزار تشخیص الکترونیکی

Journal articles,مقاله‌های علمی

Geologic terms,اصطلاحات زمین‌شناسی

Earth’s surface,سطح زمین

Earth’s outermost layer,بیرونی‌ترین لایه زمین

Overall result,نتیجه کلی

Resultant force,نیروی حاصل
Single force,نیروی واحد
Opposite directions,جهت‌های مخالف
Health professionals,متخصصان بهداشت
General population,جمعیت عمومی
Proportion of the population,نسبت جمعیت
Lower rates,نرخ‌های پایین‌تر
Increasing age,افزایش سن
Complementary therapies,درمان‌های مکمل
Treatment priorities,اولویت‌های درمانی
Ordinary routines,روتین‌های معمولی
Advances of modern technology,پیشرفت‌های فناوری مدرن
Life easier,زندگی راحت‌تر
Physically demanding,از نظر جسمی دشوار
needs satisfying,رفع نیازها
definite plan,برنامه مشخص
distant times,دوران‌های دور
daily journey,سفر روزانه
night the moon,ماه شب
tiny specks of light,نقاط کوچک نور
great dome of the heavens,گنبد بزرگ آسمان
secrets of the universe,اسرار جهان
wandering stars,ستارگان سرگردان
model of the world,مدل جهان
a dynamic multi-cultural society,جامعه پویای چندفرهنگی
the world's most desirable place,مطلوب‌ترین مکان جهان
Australia's intriguing and varied history,تاریخ جذاب و متنوع استرالیا
tribes Aborigine ancient,قبایل باستانی بومی
settlements convict British earliest,اولین سکونتگاه‌های محکومین بریتانیایی
today's modern nation,ملت مدرن امروزی
strong links,پیوندهای قوی
colonial past,گذشته استعماری
vast store,مخزن عظیم
busy and boundless fancy,تخیل فعال و بی‌کران
endless variety,تنوع بی‌پایان
paper records,اسناد کاغذی
student applications,درخواست‌های دانشجویی
Chemistry degrees,مدارک شیمی
aspects of the past,جنبه‌های گذشته
the next generation,نسل بعدی
National school curriculum,برنامه درسی ملی مدارس
History curriculum,برنامه درسی تاریخ
Ice storm,طوفان یخ
Cold rainfall,بارندگی سرد
Cold air,هوای سرد
A blackout,قطعی برق
continued success,موفقیت مداوم
Human nature,طبیعت انسان
Absolute accuracy,دقت مطلق
Intense realist meaning,معنای واقع‌گرایانه شدید
Symbolic meaning,معنای نمادین
Business etiquette,آداب معاشرت تجاری
Relatively straightforward,نسبتاً سرراست
Trade and investment,تجارت و سرمایه‌گذاری
Blunt and unsubtle,صریح و بی‌پرده
Young readers,خوانندگان جوان
Authors and publishers,نویسندگان و ناشران
Junk food,غذای ناسالم
enormous pressure,فشار عظیم
dense cloud,ابر متراکم
oxygen-rich air,هوای غنی از اکسیژن
the real questions,سوالات واقعی
the devastation,ویرانی
insatiable appetite,اشتهای سیری‌ناپذیر
fossil fuels,سوخت‌های فسیلی
global warming,گرمایش جهانی
something projected,چیزی که پیش‌بینی شده
computer techniques,تکنیک‌های کامپیوتری
official acceptance,پذیرش رسمی
high unemployment,بیکاری بالا
stratified socioeconomic classes,طبقات اجتماعی-اقتصادی لایه‌بندی شده
the budget deficit,کسری بودجه
the wealthiest countries,ثروتمندترین کشورها
the stable countries,کشورهای باثبات
